original_sentence,subject_text,subject_type,object_text,object_type,marked_sentence,relation_label,source
Thay đổi lối sống lành mạnh như cai thuốc lá và hạn chế rượu bia là bước đầu tiên trong phác đồ điều trị tăng huyết áp.,tăng huyết,Bệnh,hạn chế rượu,Điều trị,thay đổi lối sống lành mạnh như cai thuốc lá và [o] hạn chế rượu [/o] bia là bước đầu tiên trong phác đồ điều trị [s] tăng huyết [/s] áp.,Điều_trị_bằng,Silver-Rule
Việc chẩn đoán sớm Migraine giúp ngăn chặn các biến chứng tim mạch và thần kinh nghiêm trọng về sau.,chứng tim mạch,Bệnh,thần,Bệnh,việc chẩn đoán sớm migraine giúp ngăn chặn các biến [s] chứng tim mạch [/s] và [o] thần [/o] kinh nghiêm trọng về sau.,No_relation,Silver-Rule
Việc chẩn đoán sớm Migraine giúp ngăn chặn các biến chứng tim mạch và thần kinh nghiêm trọng về sau.,thần,Bệnh,chứng tim mạch,Bệnh,việc chẩn đoán sớm migraine giúp ngăn chặn các biến [o] chứng tim mạch [/o] và [s] thần [/s] kinh nghiêm trọng về sau.,No_relation,Silver-Rule
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,Parkinson,Bệnh,dụng,Điều trị,phương pháp điều trị chính cho [s] parkinson [/s] bao gồm việc sử [o] dụng [/o] thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,Điều_trị_bằng,Silver-Model
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,Parkinson,Bệnh,thuốc kết hợp chặt,Điều trị,phương pháp điều trị chính cho [s] parkinson [/s] bao gồm việc sử dụng [o] thuốc kết hợp chặt [/o] chẽ với tập luyện phục hồi chức năng.,Điều_trị_bằng,Silver-Rule
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,Parkinson,Bệnh,tập luyện phục hồi,Điều trị,phương pháp điều trị chính cho [s] parkinson [/s] bao gồm việc sử dụng thuốc kết hợp chặt chẽ với [o] tập luyện phục hồi [/o] chức năng.,Điều_trị_bằng,Silver-Rule
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,dụng,Điều trị,Parkinson,Bệnh,phương pháp điều trị chính cho [o] parkinson [/o] bao gồm việc sử [s] dụng [/s] thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,Điều_trị_bằng,Silver-Model
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,dụng,Điều trị,thuốc kết hợp chặt,Điều trị,phương pháp điều trị chính cho parkinson bao gồm việc sử [s] dụng [/s] [o] thuốc kết hợp chặt [/o] chẽ với tập luyện phục hồi chức năng.,Điều_trị_bằng,Silver-Model
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,dụng,Điều trị,tập luyện phục hồi,Điều trị,phương pháp điều trị chính cho parkinson bao gồm việc sử [s] dụng [/s] thuốc kết hợp chặt chẽ với [o] tập luyện phục hồi [/o] chức năng.,Điều_trị_bằng,Silver-Model
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,thuốc kết hợp chặt,Điều trị,Parkinson,Bệnh,phương pháp điều trị chính cho [o] parkinson [/o] bao gồm việc sử dụng [s] thuốc kết hợp chặt [/s] chẽ với tập luyện phục hồi chức năng.,Điều_trị_bằng,Silver-Model
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,thuốc kết hợp chặt,Điều trị,dụng,Điều trị,phương pháp điều trị chính cho parkinson bao gồm việc sử [o] dụng [/o] [s] thuốc kết hợp chặt [/s] chẽ với tập luyện phục hồi chức năng.,Điều_trị_bằng,Silver-Model
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,thuốc kết hợp chặt,Điều trị,tập luyện phục hồi,Điều trị,phương pháp điều trị chính cho parkinson bao gồm việc sử dụng [s] thuốc kết hợp chặt [/s] chẽ với [o] tập luyện phục hồi [/o] chức năng.,Điều_trị_bằng,Silver-Model
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,tập luyện phục hồi,Điều trị,Parkinson,Bệnh,phương pháp điều trị chính cho [o] parkinson [/o] bao gồm việc sử dụng thuốc kết hợp chặt chẽ với [s] tập luyện phục hồi [/s] chức năng.,Điều_trị_bằng,Silver-Model
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,tập luyện phục hồi,Điều trị,dụng,Điều trị,phương pháp điều trị chính cho parkinson bao gồm việc sử [o] dụng [/o] thuốc kết hợp chặt chẽ với [s] tập luyện phục hồi [/s] chức năng.,Điều_trị_bằng,Silver-Model
Phương pháp điều trị chính cho Parkinson bao gồm việc sử dụng thuốc kết hợp chặt chẽ với tập luyện phục hồi chức năng.,tập luyện phục hồi,Điều trị,thuốc kết hợp chặt,Điều trị,phương pháp điều trị chính cho parkinson bao gồm việc sử dụng [o] thuốc kết hợp chặt [/o] chẽ với [s] tập luyện phục hồi [/s] chức năng.,Điều_trị_bằng,Silver-Model
Đắp khăn lạnh lên vùng trán hoặc cổ bị đau có thể mang lại cảm giác dễ chịu tức thì.,khăn lạnh lên,Điều trị,Đắp,Nguyên nhân,[o] đắp [/o] [s] khăn lạnh lên [/s] vùng trán hoặc cổ bị đau có thể mang lại cảm giác dễ chịu tức thì.,No_relation,Silver-Rule
Đắp khăn lạnh lên vùng trán hoặc cổ bị đau có thể mang lại cảm giác dễ chịu tức thì.,khăn lạnh lên,Điều trị,vùng trán,Nguyên nhân,đắp [s] khăn lạnh lên [/s] [o] vùng trán [/o] hoặc cổ bị đau có thể mang lại cảm giác dễ chịu tức thì.,No_relation,Silver-Rule
Đắp khăn lạnh lên vùng trán hoặc cổ bị đau có thể mang lại cảm giác dễ chịu tức thì.,khăn lạnh lên,Điều trị,cổ,Nguyên nhân,đắp [s] khăn lạnh lên [/s] vùng trán hoặc [o] cổ [/o] bị đau có thể mang lại cảm giác dễ chịu tức thì.,No_relation,Silver-Rule
Đắp khăn lạnh lên vùng trán hoặc cổ bị đau có thể mang lại cảm giác dễ chịu tức thì.,vùng trán,Nguyên nhân,cổ,Nguyên nhân,đắp khăn lạnh lên [s] vùng trán [/s] hoặc [o] cổ [/o] bị đau có thể mang lại cảm giác dễ chịu tức thì.,No_relation,Silver-Rule
Đắp khăn lạnh lên vùng trán hoặc cổ bị đau có thể mang lại cảm giác dễ chịu tức thì.,cổ,Nguyên nhân,vùng trán,Nguyên nhân,đắp khăn lạnh lên [o] vùng trán [/o] hoặc [s] cổ [/s] bị đau có thể mang lại cảm giác dễ chịu tức thì.,No_relation,Silver-Rule
Việc chẩn đoán Parkinson chủ yếu dựa vào quan sát lâm sàng các triệu chứng vận động qua một thời gian dài.,Parkinson,Bệnh,quan sát lâm,Chẩn đoán,việc chẩn đoán [s] parkinson [/s] chủ yếu dựa vào [o] quan sát lâm [/o] sàng các triệu chứng vận động qua một thời gian dài.,Chẩn_đoán_bằng,Silver-Model
Việc chẩn đoán Parkinson chủ yếu dựa vào quan sát lâm sàng các triệu chứng vận động qua một thời gian dài.,quan sát lâm,Chẩn đoán,Parkinson,Bệnh,việc chẩn đoán [o] parkinson [/o] chủ yếu dựa vào [s] quan sát lâm [/s] sàng các triệu chứng vận động qua một thời gian dài.,Chẩn_đoán_bằng,Silver-Model
Chứng đau nửa đầu do kinh nguyệt (Menstrual Migraine) ở nữ giới xuất phát từ sự thay đổi của nội tiết tố.,kinh nguyệt,Nguyên nhân,Chứng,Bệnh,[o] chứng [/o] đau nửa đầu do [s] kinh nguyệt [/s] (menstrual migraine) ở nữ giới xuất phát từ sự thay đổi của nội tiết tố.,Gây_ra,Silver-Rule
Chứng đau nửa đầu do kinh nguyệt (Menstrual Migraine) ở nữ giới xuất phát từ sự thay đổi của nội tiết tố.,kinh nguyệt,Nguyên nhân,đau nửa đầu,Bệnh,chứng [o] đau nửa đầu [/o] do [s] kinh nguyệt [/s] (menstrual migraine) ở nữ giới xuất phát từ sự thay đổi của nội tiết tố.,Gây_ra,Silver-Rule
Tuổi tác cao và yếu tố di truyền là những nguyên nhân chính dẫn đến sự khởi phát của bệnh Parkinson.,Tuổi tác cao,Nguyên nhân,yếu tố di truyền,Nguyên nhân,[s] tuổi tác cao [/s] và [o] yếu tố di truyền [/o] là những nguyên nhân chính dẫn đến sự khởi phát của bệnh parkinson.,No_relation,Silver-Rule
Tuổi tác cao và yếu tố di truyền là những nguyên nhân chính dẫn đến sự khởi phát của bệnh Parkinson.,Tuổi tác cao,Nguyên nhân,bệnh,Bệnh,[s] tuổi tác cao [/s] và yếu tố di truyền là những nguyên nhân chính dẫn đến sự khởi phát của [o] bệnh [/o] parkinson.,Gây_ra,Silver-Rule
Tuổi tác cao và yếu tố di truyền là những nguyên nhân chính dẫn đến sự khởi phát của bệnh Parkinson.,yếu tố di truyền,Nguyên nhân,Tuổi tác cao,Nguyên nhân,[o] tuổi tác cao [/o] và [s] yếu tố di truyền [/s] là những nguyên nhân chính dẫn đến sự khởi phát của bệnh parkinson.,No_relation,Silver-Rule
Tuổi tác cao và yếu tố di truyền là những nguyên nhân chính dẫn đến sự khởi phát của bệnh Parkinson.,yếu tố di truyền,Nguyên nhân,bệnh,Bệnh,tuổi tác cao và [s] yếu tố di truyền [/s] là những nguyên nhân chính dẫn đến sự khởi phát của [o] bệnh [/o] parkinson.,Gây_ra,Silver-Rule
"Uống đủ nước, chườm lạnh và duy trì giấc ngủ điều độ giúp hỗ trợ quá trình điều trị đau đầu.",đau,Bệnh,Uống đủ,Điều trị,"[o] uống đủ [/o] nước, chườm lạnh và duy trì giấc ngủ điều độ giúp hỗ trợ quá trình điều trị [s] đau [/s] đầu.",Điều_trị_bằng,Silver-Rule
