original_sentence,subject_text,subject_type,object_text,object_type,marked_sentence,relation_label
Chụp cắt lớp vi tính chẩn đoán bệnh mạch vành.,bệnh mạch vành,Bệnh,Chụp cắt lớp vi tính,Chẩn đoán,[o] chụp cắt lớp vi tính [/o] chẩn đoán [s] bệnh mạch vành [/s].,Chẩn_đoán_bằng
Bác sĩ có thể kê thêm thuốc giảm đau và chống nôn để điều trị cho người bệnh đau đầu migraine.,thuốc giảm đau,Điều trị,chống nôn,Điều trị,bác sĩ có thể kê thêm [s] thuốc giảm đau [/s] và [o] chống nôn [/o] để điều trị cho người bệnh đau đầu migraine.,No_relation
Bác sĩ có thể kê thêm thuốc giảm đau và chống nôn để điều trị cho người bệnh đau đầu migraine.,thuốc giảm đau,Điều trị,đau đầu migraine,Bệnh,bác sĩ có thể kê thêm [s] thuốc giảm đau [/s] và chống nôn để điều trị cho người bệnh [o] đau đầu migraine [/o].,No_relation
Bác sĩ có thể kê thêm thuốc giảm đau và chống nôn để điều trị cho người bệnh đau đầu migraine.,chống nôn,Điều trị,thuốc giảm đau,Điều trị,bác sĩ có thể kê thêm [o] thuốc giảm đau [/o] và [s] chống nôn [/s] để điều trị cho người bệnh đau đầu migraine.,No_relation
Bác sĩ có thể kê thêm thuốc giảm đau và chống nôn để điều trị cho người bệnh đau đầu migraine.,chống nôn,Điều trị,đau đầu migraine,Bệnh,bác sĩ có thể kê thêm thuốc giảm đau và [s] chống nôn [/s] để điều trị cho người bệnh [o] đau đầu migraine [/o].,No_relation
Bác sĩ có thể kê thêm thuốc giảm đau và chống nôn để điều trị cho người bệnh đau đầu migraine.,đau đầu migraine,Bệnh,thuốc giảm đau,Điều trị,bác sĩ có thể kê thêm [o] thuốc giảm đau [/o] và chống nôn để điều trị cho người bệnh [s] đau đầu migraine [/s].,Điều_trị_bằng
Bác sĩ có thể kê thêm thuốc giảm đau và chống nôn để điều trị cho người bệnh đau đầu migraine.,đau đầu migraine,Bệnh,chống nôn,Điều trị,bác sĩ có thể kê thêm thuốc giảm đau và [o] chống nôn [/o] để điều trị cho người bệnh [s] đau đầu migraine [/s].,Điều_trị_bằng
Bác sĩ khoa Nội tiết – Đái tháo đường có thể chỉ định xét nghiệm máu để tìm các dấu hiệu của bệnh tiểu đường tuýp 2.,xét nghiệm máu,Chẩn đoán,bệnh tiểu đường tuýp 2,Bệnh,bác sĩ khoa nội tiết – đái tháo đường có thể chỉ định [s] xét nghiệm máu [/s] để tìm các dấu hiệu của [o] bệnh tiểu đường tuýp 2 [/o].,No_relation
Bác sĩ khoa Nội tiết – Đái tháo đường có thể chỉ định xét nghiệm máu để tìm các dấu hiệu của bệnh tiểu đường tuýp 2.,bệnh tiểu đường tuýp 2,Bệnh,xét nghiệm máu,Chẩn đoán,bác sĩ khoa nội tiết – đái tháo đường có thể chỉ định [o] xét nghiệm máu [/o] để tìm các dấu hiệu của [s] bệnh tiểu đường tuýp 2 [/s].,Chẩn_đoán_bằng
"Với migraine không có tiền triệu, người bệnh có thể chỉ có biểu hiện lo lắng, chán ăn trước khi cơn đau xuất hiện.",migraine,Bệnh,lo lắng,Triệu chứng,"với [s] migraine [/s] không có tiền triệu, người bệnh có thể chỉ có biểu hiện [o] lo lắng [/o], chán ăn trước khi cơn đau xuất hiện.",Có_triệu_chứng
"Với migraine không có tiền triệu, người bệnh có thể chỉ có biểu hiện lo lắng, chán ăn trước khi cơn đau xuất hiện.",migraine,Bệnh,chán ăn trước khi cơn đau xuất hiện,Triệu chứng,"với [s] migraine [/s] không có tiền triệu, người bệnh có thể chỉ có biểu hiện lo lắng, [o] chán ăn trước khi cơn đau xuất hiện [/o].",Có_triệu_chứng
"Với migraine không có tiền triệu, người bệnh có thể chỉ có biểu hiện lo lắng, chán ăn trước khi cơn đau xuất hiện.",lo lắng,Triệu chứng,migraine,Bệnh,"với [o] migraine [/o] không có tiền triệu, người bệnh có thể chỉ có biểu hiện [s] lo lắng [/s], chán ăn trước khi cơn đau xuất hiện.",No_relation
"Với migraine không có tiền triệu, người bệnh có thể chỉ có biểu hiện lo lắng, chán ăn trước khi cơn đau xuất hiện.",lo lắng,Triệu chứng,chán ăn trước khi cơn đau xuất hiện,Triệu chứng,"với migraine không có tiền triệu, người bệnh có thể chỉ có biểu hiện [s] lo lắng [/s], [o] chán ăn trước khi cơn đau xuất hiện [/o].",No_relation
"Với migraine không có tiền triệu, người bệnh có thể chỉ có biểu hiện lo lắng, chán ăn trước khi cơn đau xuất hiện.",chán ăn trước khi cơn đau xuất hiện,Triệu chứng,migraine,Bệnh,"với [o] migraine [/o] không có tiền triệu, người bệnh có thể chỉ có biểu hiện lo lắng, [s] chán ăn trước khi cơn đau xuất hiện [/s].",No_relation
"Với migraine không có tiền triệu, người bệnh có thể chỉ có biểu hiện lo lắng, chán ăn trước khi cơn đau xuất hiện.",chán ăn trước khi cơn đau xuất hiện,Triệu chứng,lo lắng,Triệu chứng,"với migraine không có tiền triệu, người bệnh có thể chỉ có biểu hiện [o] lo lắng [/o], [s] chán ăn trước khi cơn đau xuất hiện [/s].",No_relation
Bệnh Alzheimer được điều trị bằng các loại thuốc điều chỉnh chất dẫn truyền thần kinh để duy trì chức năng tâm thần.,Alzheimer,Bệnh,thuốc điều chỉnh chất dẫn truyền thần kinh,Điều trị,bệnh [s] alzheimer [/s] được điều trị bằng các loại [o] thuốc điều chỉnh chất dẫn truyền thần kinh [/o] để duy trì chức năng tâm thần.,Điều_trị_bằng
Bệnh Alzheimer được điều trị bằng các loại thuốc điều chỉnh chất dẫn truyền thần kinh để duy trì chức năng tâm thần.,thuốc điều chỉnh chất dẫn truyền thần kinh,Điều trị,Alzheimer,Bệnh,bệnh [o] alzheimer [/o] được điều trị bằng các loại [s] thuốc điều chỉnh chất dẫn truyền thần kinh [/s] để duy trì chức năng tâm thần.,No_relation
"Viêm dạ dày được chẩn đoán thông qua xét nghiệm tìm H.pylori bằng xét nghiệm phân, xét nghiệm máu hoặc test hơi thở.",Viêm dạ dày,Bệnh,xét nghiệm tìm H.pylori,Chẩn đoán,"[s] viêm dạ dày [/s] được chẩn đoán thông qua [o] xét nghiệm tìm h.pylori [/o] bằng xét nghiệm phân, xét nghiệm máu hoặc test hơi thở.",Chẩn_đoán_bằng
"Viêm dạ dày được chẩn đoán thông qua xét nghiệm tìm H.pylori bằng xét nghiệm phân, xét nghiệm máu hoặc test hơi thở.",xét nghiệm tìm H.pylori,Chẩn đoán,Viêm dạ dày,Bệnh,"[o] viêm dạ dày [/o] được chẩn đoán thông qua [s] xét nghiệm tìm h.pylori [/s] bằng xét nghiệm phân, xét nghiệm máu hoặc test hơi thở.",No_relation
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",trầm cảm,Bệnh,mất cảm giác ngon miệng,Triệu chứng,"bệnh [s] trầm cảm [/s] có biểu hiện [o] mất cảm giác ngon miệng [/o], chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",Có_triệu_chứng
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",trầm cảm,Bệnh,chán ăn dẫn đến gầy sút cân,Triệu chứng,"bệnh [s] trầm cảm [/s] có biểu hiện mất cảm giác ngon miệng, [o] chán ăn dẫn đến gầy sút cân [/o] hoặc thèm ăn gây tăng cân.",Có_triệu_chứng
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",trầm cảm,Bệnh,thèm ăn gây tăng cân,Triệu chứng,"bệnh [s] trầm cảm [/s] có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc [o] thèm ăn gây tăng cân [/o].",Có_triệu_chứng
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",mất cảm giác ngon miệng,Triệu chứng,trầm cảm,Bệnh,"bệnh [o] trầm cảm [/o] có biểu hiện [s] mất cảm giác ngon miệng [/s], chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",No_relation
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",mất cảm giác ngon miệng,Triệu chứng,chán ăn dẫn đến gầy sút cân,Triệu chứng,"bệnh trầm cảm có biểu hiện [s] mất cảm giác ngon miệng [/s], [o] chán ăn dẫn đến gầy sút cân [/o] hoặc thèm ăn gây tăng cân.",No_relation
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",mất cảm giác ngon miệng,Triệu chứng,thèm ăn gây tăng cân,Triệu chứng,"bệnh trầm cảm có biểu hiện [s] mất cảm giác ngon miệng [/s], chán ăn dẫn đến gầy sút cân hoặc [o] thèm ăn gây tăng cân [/o].",No_relation
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",chán ăn dẫn đến gầy sút cân,Triệu chứng,trầm cảm,Bệnh,"bệnh [o] trầm cảm [/o] có biểu hiện mất cảm giác ngon miệng, [s] chán ăn dẫn đến gầy sút cân [/s] hoặc thèm ăn gây tăng cân.",No_relation
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",chán ăn dẫn đến gầy sút cân,Triệu chứng,mất cảm giác ngon miệng,Triệu chứng,"bệnh trầm cảm có biểu hiện [o] mất cảm giác ngon miệng [/o], [s] chán ăn dẫn đến gầy sút cân [/s] hoặc thèm ăn gây tăng cân.",No_relation
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",chán ăn dẫn đến gầy sút cân,Triệu chứng,thèm ăn gây tăng cân,Triệu chứng,"bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, [s] chán ăn dẫn đến gầy sút cân [/s] hoặc [o] thèm ăn gây tăng cân [/o].",No_relation
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",thèm ăn gây tăng cân,Triệu chứng,trầm cảm,Bệnh,"bệnh [o] trầm cảm [/o] có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc [s] thèm ăn gây tăng cân [/s].",No_relation
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",thèm ăn gây tăng cân,Triệu chứng,mất cảm giác ngon miệng,Triệu chứng,"bệnh trầm cảm có biểu hiện [o] mất cảm giác ngon miệng [/o], chán ăn dẫn đến gầy sút cân hoặc [s] thèm ăn gây tăng cân [/s].",No_relation
"Bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, chán ăn dẫn đến gầy sút cân hoặc thèm ăn gây tăng cân.",thèm ăn gây tăng cân,Triệu chứng,chán ăn dẫn đến gầy sút cân,Triệu chứng,"bệnh trầm cảm có biểu hiện mất cảm giác ngon miệng, [o] chán ăn dẫn đến gầy sút cân [/o] hoặc [s] thèm ăn gây tăng cân [/s].",No_relation
"Yếu tố di truyền là nguyên nhân gây ra bệnh trầm cảm, đặc biệt phổ biến trong số các thân nhân bậc 1 của bệnh nhân.",Yếu tố di truyền,Nguyên nhân,trầm cảm,Bệnh,"[s] yếu tố di truyền [/s] là nguyên nhân gây ra bệnh [o] trầm cảm [/o], đặc biệt phổ biến trong số các thân nhân bậc 1 của bệnh nhân.",Gây_ra
"Yếu tố di truyền là nguyên nhân gây ra bệnh trầm cảm, đặc biệt phổ biến trong số các thân nhân bậc 1 của bệnh nhân.",trầm cảm,Bệnh,Yếu tố di truyền,Nguyên nhân,"[o] yếu tố di truyền [/o] là nguyên nhân gây ra bệnh [s] trầm cảm [/s], đặc biệt phổ biến trong số các thân nhân bậc 1 của bệnh nhân.",No_relation
Bệnh trầm cảm được điều trị bằng các loại thuốc chống trầm cảm và thuốc điều chỉnh khí sắc theo đơn của bác sĩ.,trầm cảm,Bệnh,thuốc chống trầm cảm,Điều trị,bệnh [s] trầm cảm [/s] được điều trị bằng các loại [o] thuốc chống trầm cảm [/o] và thuốc điều chỉnh khí sắc theo đơn của bác sĩ.,Điều_trị_bằng
Bệnh trầm cảm được điều trị bằng các loại thuốc chống trầm cảm và thuốc điều chỉnh khí sắc theo đơn của bác sĩ.,trầm cảm,Bệnh,thuốc điều chỉnh khí sắc,Điều trị,bệnh [s] trầm cảm [/s] được điều trị bằng các loại thuốc chống trầm cảm và [o] thuốc điều chỉnh khí sắc [/o] theo đơn của bác sĩ.,Điều_trị_bằng
Bệnh trầm cảm được điều trị bằng các loại thuốc chống trầm cảm và thuốc điều chỉnh khí sắc theo đơn của bác sĩ.,thuốc chống trầm cảm,Điều trị,trầm cảm,Bệnh,bệnh [o] trầm cảm [/o] được điều trị bằng các loại [s] thuốc chống trầm cảm [/s] và thuốc điều chỉnh khí sắc theo đơn của bác sĩ.,No_relation
Bệnh trầm cảm được điều trị bằng các loại thuốc chống trầm cảm và thuốc điều chỉnh khí sắc theo đơn của bác sĩ.,thuốc chống trầm cảm,Điều trị,thuốc điều chỉnh khí sắc,Điều trị,bệnh trầm cảm được điều trị bằng các loại [s] thuốc chống trầm cảm [/s] và [o] thuốc điều chỉnh khí sắc [/o] theo đơn của bác sĩ.,No_relation
Bệnh trầm cảm được điều trị bằng các loại thuốc chống trầm cảm và thuốc điều chỉnh khí sắc theo đơn của bác sĩ.,thuốc điều chỉnh khí sắc,Điều trị,trầm cảm,Bệnh,bệnh [o] trầm cảm [/o] được điều trị bằng các loại thuốc chống trầm cảm và [s] thuốc điều chỉnh khí sắc [/s] theo đơn của bác sĩ.,No_relation
Bệnh trầm cảm được điều trị bằng các loại thuốc chống trầm cảm và thuốc điều chỉnh khí sắc theo đơn của bác sĩ.,thuốc điều chỉnh khí sắc,Điều trị,thuốc chống trầm cảm,Điều trị,bệnh trầm cảm được điều trị bằng các loại [o] thuốc chống trầm cảm [/o] và [s] thuốc điều chỉnh khí sắc [/s] theo đơn của bác sĩ.,No_relation
"Bệnh Alzheimer gây ảnh hưởng đến suy nghĩ, hành vi và trí nhớ của người bệnh.",Alzheimer,Bệnh,ảnh hưởng đến suy nghĩ,Nguyên nhân,"bệnh [s] alzheimer [/s] gây [o] ảnh hưởng đến suy nghĩ [/o], hành vi và trí nhớ của người bệnh.",Gây_ra
"Bệnh Alzheimer gây ảnh hưởng đến suy nghĩ, hành vi và trí nhớ của người bệnh.",ảnh hưởng đến suy nghĩ,Nguyên nhân,Alzheimer,Bệnh,"bệnh [o] alzheimer [/o] gây [s] ảnh hưởng đến suy nghĩ [/s], hành vi và trí nhớ của người bệnh.",No_relation
Các protein bất thường được sản sinh ra tạo nên những mảng bám và tích tụ quanh các tế bào gây ra bệnh Alzheimer., protein bất thường,Nguyên nhân,mảng bám và tích tụ quanh các tế bào,Nguyên nhân,các[s]  protein bất thường [/s] được sản sinh ra tạo nên những [o] mảng bám và tích tụ quanh các tế bào [/o] gây ra bệnh alzheimer.,No_relation
Các protein bất thường được sản sinh ra tạo nên những mảng bám và tích tụ quanh các tế bào gây ra bệnh Alzheimer., protein bất thường,Nguyên nhân,Alzheimer,Bệnh,các[s]  protein bất thường [/s] được sản sinh ra tạo nên những mảng bám và tích tụ quanh các tế bào gây ra bệnh [o] alzheimer [/o].,Gây_ra
Các protein bất thường được sản sinh ra tạo nên những mảng bám và tích tụ quanh các tế bào gây ra bệnh Alzheimer.,mảng bám và tích tụ quanh các tế bào,Nguyên nhân, protein bất thường,Nguyên nhân,các[o]  protein bất thường [/o] được sản sinh ra tạo nên những [s] mảng bám và tích tụ quanh các tế bào [/s] gây ra bệnh alzheimer.,No_relation
Các protein bất thường được sản sinh ra tạo nên những mảng bám và tích tụ quanh các tế bào gây ra bệnh Alzheimer.,mảng bám và tích tụ quanh các tế bào,Nguyên nhân,Alzheimer,Bệnh,các protein bất thường được sản sinh ra tạo nên những [s] mảng bám và tích tụ quanh các tế bào [/s] gây ra bệnh [o] alzheimer [/o].,Gây_ra
Các protein bất thường được sản sinh ra tạo nên những mảng bám và tích tụ quanh các tế bào gây ra bệnh Alzheimer.,Alzheimer,Bệnh, protein bất thường,Nguyên nhân,các[o]  protein bất thường [/o] được sản sinh ra tạo nên những mảng bám và tích tụ quanh các tế bào gây ra bệnh [s] alzheimer [/s].,No_relation
Các protein bất thường được sản sinh ra tạo nên những mảng bám và tích tụ quanh các tế bào gây ra bệnh Alzheimer.,Alzheimer,Bệnh,mảng bám và tích tụ quanh các tế bào,Nguyên nhân,các protein bất thường được sản sinh ra tạo nên những [o] mảng bám và tích tụ quanh các tế bào [/o] gây ra bệnh [s] alzheimer [/s].,No_relation
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,rất khát,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm [o] rất khát [/o], đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,đi tiểu nhiều,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, [o] đi tiểu nhiều [/o], nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,nhìn mờ,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, [o] nhìn mờ [/o], cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,cáu kỉnh,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, nhìn mờ, [o] cáu kỉnh [/o], ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,ngứa ran,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, [o] ngứa ran [/o] hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,tê ở bàn tay hoặc bàn chân,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc [o] tê ở bàn tay hoặc bàn chân [/o], mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,mệt mỏi,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, [o] mệt mỏi [/o], vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,vết thương không lành,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, [o] vết thương không lành [/o], nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,nhiễm trùng nấm men tiếp tục tái phát,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, [o] nhiễm trùng nấm men tiếp tục tái phát [/o], cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,cảm thấy đói,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, [o] cảm thấy đói [/o], giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,giảm cân mà không cần cố gắng,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, [o] giảm cân mà không cần cố gắng [/o], bị nhiễm trùng nhiều hơn.",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",bệnh tiểu đường loại 2,Bệnh,bị nhiễm trùng nhiều hơn,Triệu chứng,"các triệu chứng của [s] bệnh tiểu đường loại 2 [/s] bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, [o] bị nhiễm trùng nhiều hơn [/o].",Có_triệu_chứng
"Các triệu chứng của bệnh tiểu đường loại 2 bao gồm rất khát, đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",rất khát,Triệu chứng,bệnh tiểu đường loại 2,Bệnh,"các triệu chứng của [o] bệnh tiểu đường loại 2 [/o] bao gồm [s] rất khát [/s], đi tiểu nhiều, nhìn mờ, cáu kỉnh, ngứa ran hoặc tê ở bàn tay hoặc bàn chân, mệt mỏi, vết thương không lành, nhiễm trùng nấm men tiếp tục tái phát, cảm thấy đói, giảm cân mà không cần cố gắng, bị nhiễm trùng nhiều hơn.",No_relation
